"","site_status.x","year.x","Observed"
"1","MPA",1999,15418
"2","MPA",2000,17376
"3","MPA",2001,21151
"4","MPA",2002,24789
"5","MPA",2004,36095
"6","MPA",2013,34804
"7","MPA",2014,42229
"8","MPA",2015,40443
"9","MPA",2016,39111
"10","MPA",2020,39023
"11","MPA",2021,39374
"12","MPA",2022,39922
"13","reference",1999,2548
"14","reference",2000,6955
"15","reference",2004,23150
"16","reference",2010,32289
"17","reference",2011,34109
"18","reference",2012,25918
"19","reference",2013,16343
"20","reference",2014,22372
"21","reference",2015,21439
"22","reference",2016,23443
"23","reference",2017,24605
"24","reference",2018,24416
"25","reference",2019,22995
"26","reference",2020,22179
"27","reference",2021,23040
"28","reference",2022,21445
